札番号,単語数,総文字数,統一分母,単語リスト
35,43,123,262,ひとは/人はい/はいさ/心も知/も知ら/知らず/ふるさ/るさと/さとは/とはい/こころ/ころも/ろもし/もしら/しらず/人はいさ/心も知ら/も知らず/ふるさと/るさとは/ひとはい/とはいさ/こころも/ころもし/ろもしら/もしらず/人は/はい/いさ/心も/も知/知ら/らず/ふる/るさ/さと/とは/ひと/ここ/ころ/ろも/もし/しら
36,50,143,262,なつ/夏の夜/の夜は/まだ宵/だ宵な/宵なが/ながら/明けぬ/けぬる/ぬるを/なつの/つのよ/のよは/まだよ/だよひ/よひな/ひなが/あけぬ/夏の夜は/まだ宵な/だ宵なが/宵ながら/明けぬる/けぬるを/なつのよ/つのよは/まだよひ/だよひな/よひなが/ひながら/あけぬる/夏の/の夜/夜は/まだ/だ宵/宵な/なが/がら/明け/けぬ/ぬる/るを/つの/のよ/よは/だよ/よひ/ひな/あけ
37,51,143,262,しら/白露に/風の吹/の吹き/吹きし/きしく/秋の野/の野は/しらつ/らつゆ/つゆに/かぜの/ぜのふ/のふき/ふきし/あきの/きのの/ののは/風の吹き/の吹きし/吹きしく/秋の野は/しらつゆ/らつゆに/かぜのふ/ぜのふき/のふきし/ふきしく/あきのの/きののは/白露/露に/風の/の吹/吹き/きし/しく/秋の/の野/野は/らつ/つゆ/ゆに/かぜ/ぜの/のふ/ふき/あき/きの/のの/のは
38,49,141,262,わすら/忘らる/らるる/身をば/をば思/ば思は/思はず/誓ひて/ひてし/すらる/みをば/をばお/ばおも/おもは/もはず/ちかひ/かひて/忘らるる/身をば思/をば思は/ば思はず/誓ひてし/わすらる/すらるる/みをばお/をばおも/ばおもは/おもはず/ちかひて/かひてし/忘ら/らる/るる/身を/をば/ば思/思は/はず/誓ひ/ひて/てし/わす/すら/みを/ばお/おも/もは/ちか/かひ
39,49,137,262,あさぢ/浅茅生/茅生の/小野の/野の篠/の篠原/しのぶ/のぶれ/ぶれど/さぢふ/ぢふの/をのの/ののし/のしの/しのは/のはら/あさじ/浅茅生の/小野の篠/野の篠原/しのぶれ/のぶれど/あさぢふ/さぢふの/をののし/ののしの/のしのは/しのはら/浅茅/茅生/生の/小野/野の/の篠/篠原/しの/のぶ/ぶれ/れど/あさ/さぢ/ぢふ/ふの/をの/のの/のし/のは/はら/さじ
40,50,143,262,しの/しのぶ/のぶれ/ぶれど/色に出/に出で/出でに/でにけ/にけり/わが恋/が恋は/いろに/ろにい/にいで/いでに/わがこ/がこひ/こひは/しのぶれ/のぶれど/色に出で/に出でに/出でにけ/でにけり/わが恋は/いろにい/ろにいで/にいでに/いでにけ/わがこひ/がこひは/のぶ/ぶれ/れど/色に/に出/出で/でに/にけ/けり/わが/が恋/恋は/いろ/ろに/にい/いで/がこ/こひ/ひは
41,48,138,262,こひ/恋すて/すてふ/わが名/が名は/名はま/はまだ/まだき/立ちに/ちにけ/にけり/こひす/ひすて/わがな/がなは/なはま/たちに/恋すてふ/わが名は/が名はま/名はまだ/はまだき/立ちにけ/ちにけり/こひすて/ひすてふ/わがなは/がなはま/なはまだ/たちにけ/恋す/すて/てふ/わが/が名/名は/はま/まだ/だき/立ち/ちに/にけ/けり/ひす/がな/なは/たち/こい
42,42,120,262,ちぎりき/契りき/りきな/かたみ/たみに/みに袖/に袖を/しぼり/ぼりつ/りつつ/ちぎり/ぎりき/みにそ/にそで/そでを/契りきな/かたみに/たみに袖/みに袖を/しぼりつ/ぼりつつ/ぎりきな/たみにそ/みにそで/にそでを/契り/りき/きな/かた/たみ/みに/に袖/袖を/しぼ/ぼり/りつ/つつ/ちぎ/ぎり/にそ/そで/でを
43,48,136,262,あひ/逢ひ見/ひ見て/見ての/のちの/ちの心/の心に/くらぶ/らぶれ/ぶれば/あひみ/ひみて/みての/ちのこ/のここ/こころ/ころに/逢ひ見て/ひ見ての/のちの心/ちの心に/くらぶれ/らぶれば/あひみて/ひみての/のちのこ/ちのここ/のこころ/こころに/逢ひ/ひ見/見て/ての/のち/ちの/の心/心に/くら/らぶ/ぶれ/れば/ひみ/みて/のこ/ここ/ころ/ろに/あい
44,41,116,262,あふこ/逢ふこ/ふこと/ことの/絶えて/えてし/てしな/しなく/なくは/なかな/かなか/なかに/たえて/おおこ/逢ふこと/ふことの/絶えてし/えてしな/てしなく/しなくは/なかなか/かなかに/あふこと/たえてし/逢ふ/ふこ/こと/との/絶え/えて/てし/しな/なく/くは/なか/かな/かに/あふ/たえ/おお/おこ
