札番号,単語数,総文字数(現在の満点),登録単語リスト
72,25,104,おとに/おとにきく　たかしのはまの　あだなみは/音に聞/あだ波/きく/あだ/たか/聞く/高師の/高師の浜の/おと/音に/波は/音に聞く　高師の浜の　あだ波は/たかしのはまの/たかし/あだ波は/高師/音に聞く/みは/あだな/あだなみは/浜の/おとにきく/まの
73,24,101,をの/さきに/さき/高砂/たかさごの　をのへのさくら　さきにけり/尾の上の桜/さきにけり/たか/をのへ/の桜/高砂の　尾の上の桜　咲きにけり/高砂の/尾の上/咲き/たかさごの/砂の/をのへのさくら/くら/たかさ/咲きに/けり/咲きにけり/ごの/尾の
74,24,108,憂かりける　人を初瀬の　山おろしよ/憂かりける/瀬の/人を/うかりける　ひとをはつせの　やまおろしよ/山おろしよ/うかり/ひとをはつせの/うかりける/ける/ひとを/人を初瀬の/せの/やまおろしよ/憂か/やまお/しよ/うか/山おろ/人を初/山お/憂かり/やま/ひと
75,22,102,契りお/ちぎり/いのち/させも/ちぎりおきし/契り/させもが露を/いの/ゆを/契りおきし/露を/にて/命に/いのちにて/契りおきし　させもが露を　命にて/ちぎりおきし　させもがつゆを　いのちにて/させもがつゆを/ちぎ/命にて/させ/きし/ちぎりお
76,20,104,ひさ/わたのはら　こ/わたの原　漕ぎ出でて見れば　ひさかたの/こぎいでてみれば/わたのはら/の原/漕ぎ出でて見れば/漕ぎ/わた/こぎい/れば/わたの原/漕ぎ出/ひさか/たの/わたの/ひさかたの/わたのはら　こぎいでてみれば　ひさかたの/はら/こぎ
77,23,101,せをはやみ　いはにせかるる　たきがはの/るる/岩に/やみ/たき/岩にせかるる/瀬をはやみ　岩にせかるる　滝川の/いはにせかるる/岩にせ/たきがはの/せをは/滝川の/川の/いは/せをはやみ/瀬を/はの/滝川/せを/たきが/いはに/瀬をは/瀬をはやみ
78,28,108,わじ/淡路島　通ふ千鳥の　鳴く声に/声に/かよ/なくこゑに/あわじ/鳥の/通ふ/あはぢしま　かよふちどりの　なくこゑに/かよふ/あわ/なくこ/りの/かよふちどりの/しま/路島/鳴く/あはぢ/通ふ千鳥の/なく/あはぢしま/ゑに/鳴く声/淡路/通ふ千/あは/淡路島/鳴く声に
79,22,98,たえま/ぜに/風に/あきかぜに/たえ/より/あきか/雲の/たなびくくもの/たなび/秋風に　たなびく雲の　絶え間より/たなびく雲の/たな/あき/絶え間/あきかぜに　たなびくくもの　たえまより/たえまより/もの/秋風に/秋風/絶え/絶え間より
80,23,97,くろか/ながか/髪の/ながからむ/くろ/らむ/なが/ここ/心も知/黒髪/長か/心も/長からむ　心も知らず　黒髪の/らず/長からむ/こころもしらず/心も知らず/長から/こころ/ながからむ　こころもしらず　くろかみの/黒髪の/みの/くろかみの
81,18,88,鳴きつる方を/鳴きつ/ほとと/鳴き/ほととぎす/ほととぎす　鳴きつる方を　ながむれば/ぎす/ながむ/ほと/ながむれば/ほととぎす　なきつるかたを　ながむれば/なが/れば/なき/たを/なきつ/なきつるかたを/方を
